trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.6, 'e': 0.6}",20,0,-60.14064159777066,"{0: 13, 1: 3, 2: 2, 3: 2, 4: 0}",0
2,False,"{'a': 0.6, 'e': 0.36}",25,0,-67.65630142847542,"{0: 19, 1: 1, 2: 3, 3: 1, 4: 1}",0
3,False,"{'a': 0.6, 'e': 0.21599999999999997}",30,12,-3.3228967531971545,"{0: 15, 1: 0, 2: 3, 3: 0, 4: 0}",1
4,False,"{'a': 0.6, 'e': 0.1296}",30,9,-64.54899473057812,"{0: 18, 1: 0, 2: 0, 3: 1, 4: 2}",1
5,False,"{'a': 0.6, 'e': 0.07775999999999998}",20,11,2.1999435958336013,"{0: 8, 1: 0, 2: 1, 3: 0, 4: 0}",1
6,False,"{'a': 0.6, 'e': 0.04665599999999999}",25,0,-21.934485296199924,"{0: 22, 1: 0, 2: 1, 3: 2, 4: 0}",0
7,False,"{'a': 0.6, 'e': 0.027993599999999993}",20,8,9.327147901443512,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
8,False,"{'a': 0.6, 'e': 0.016796159999999994}",25,4,-11.76438746315538,"{0: 19, 1: 1, 2: 0, 3: 0, 4: 1}",1
9,False,"{'a': 0.6, 'e': 0.010077695999999997}",20,0,30.032279654854058,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
10,False,"{'a': 0.6, 'e': 0.006046617599999998}",20,10,19.59845374952907,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
11,False,"{'a': 0.6, 'e': 0.0036279705599999985}",25,13,25.305219503167148,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
12,False,"{'a': 0.6, 'e': 0.002176782335999999}",20,8,-20.807071909385424,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 1}",1
13,False,"{'a': 0.6, 'e': 0.0013060694015999993}",25,2,35.17593013692977,"{0: 23, 1: 0, 2: 0, 3: 0, 4: 0}",1
14,False,"{'a': 0.6, 'e': 0.0007836416409599996}",20,0,32.5678789650069,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
15,False,"{'a': 0.6, 'e': 0.00047018498457599973}",20,7,23.364494211890573,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
16,False,"{'a': 0.6, 'e': 0.00028211099074559984}",20,0,32.02356937483999,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
17,False,"{'a': 0.6, 'e': 0.00016926659444735988}",30,5,17.319769383841667,"{0: 24, 1: 0, 2: 0, 3: 1, 4: 0}",1
18,False,"{'a': 0.6, 'e': 0.00010155995666841593}",20,0,29.87598195551731,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
19,False,"{'a': 0.6, 'e': 6.093597400104956e-05}",30,16,22.388125244259925,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
20,False,"{'a': 0.6, 'e': 3.6561584400629733e-05}",25,10,26.633433529451406,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
1,True,"{'a': 0, 'e': 0}",35,12,37.62211125537306,"{0: 23, 1: 0, 2: 0, 3: 0, 4: 0}",1
2,True,"{'a': 0, 'e': 0}",20,0,31.64445035292741,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
3,True,"{'a': 0, 'e': 0}",25,15,16.67190817042028,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
4,True,"{'a': 0, 'e': 0}",30,18,21.03037754073801,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
5,True,"{'a': 0, 'e': 0}",30,18,24.700887523572472,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
6,True,"{'a': 0, 'e': 0}",20,1,30.381934539453482,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 0}",1
7,True,"{'a': 0, 'e': 0}",30,15,24.61998549049034,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
8,True,"{'a': 0, 'e': 0}",20,0,29.635171879937747,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
9,True,"{'a': 0, 'e': 0}",25,5,31.529026653174874,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
10,True,"{'a': 0, 'e': 0}",20,3,27.73196581184699,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
