trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",20,-100,-535.7575498931395,"{0: 73, 1: 12, 2: 22, 3: 7, 4: 6}",0
2,False,"{'a': 0.5, 'e': 1.0}",20,-28,-270.4548115120724,"{0: 30, 1: 4, 2: 8, 3: 1, 4: 5}",0
3,False,"{'a': 0.5, 'e': 1.0}",20,2,-20.07029408947318,"{0: 13, 1: 2, 2: 3, 3: 0, 4: 0}",1
4,False,"{'a': 0.5, 'e': 1.0}",25,-84,-769.1417073621374,"{0: 59, 1: 9, 2: 23, 3: 7, 4: 11}",0
5,False,"{'a': 0.5, 'e': 1.0}",30,-75,-350.19233497170086,"{0: 70, 1: 6, 2: 21, 3: 6, 4: 2}",0
6,False,"{'a': 0.5, 'e': 1.0}",30,-98,-697.2613646721081,"{0: 80, 1: 9, 2: 23, 3: 6, 4: 10}",0
7,False,"{'a': 0.5, 'e': 1.0}",20,4,-50.121130857257114,"{0: 12, 1: 2, 2: 0, 3: 1, 4: 1}",1
8,False,"{'a': 0.5, 'e': 1.0}",25,-30,-246.67203862730628,"{0: 37, 1: 3, 2: 9, 3: 2, 4: 4}",0
9,False,"{'a': 0.5, 'e': 1.0}",20,-100,-607.0753434240412,"{0: 71, 1: 14, 2: 21, 3: 7, 4: 7}",0
10,False,"{'a': 0.5, 'e': 1.0}",20,-17,-247.86888660012113,"{0: 20, 1: 2, 2: 9, 3: 3, 4: 3}",0
11,False,"{'a': 0.5, 'e': 1.0}",25,-100,-553.9106302472974,"{0: 80, 1: 10, 2: 23, 3: 5, 4: 7}",0
12,False,"{'a': 0.5, 'e': 1.0}",25,-100,-466.03860421495324,"{0: 76, 1: 17, 2: 26, 3: 1, 4: 5}",0
13,False,"{'a': 0.5, 'e': 1.0}",25,4,-69.69499784063595,"{0: 15, 1: 1, 2: 3, 3: 1, 4: 1}",1
